National Institute of Technology Karnataka Surathkal,Information Technology (4 Years Bachelor of Technology),ST,M,77,226
National Institute of Technology Karnataka Surathkal,Information Technology (4 Years Bachelor of Technology),OPEN-PWD,M,78,78
Indian Institute of Information Technology (IIIT) Nagpur,Computer Science and Engineering (4 Years Bachelor of Technology),SC-PWD,M,78,78
National Institute of Technology Delhi,Electronics and Communication Engineering (4 Years Bachelor of Technology),SC-PWD,M,79,79
Motilal Nehru National Institute of Technology Allahabad,Computer Science and Engineering (4 Years Bachelor of Technology),EWS-PWD,F,80,80
National Institute of Technology Delhi,Computer Science and Engineering (4 Years Bachelor of Technology),ST,M,80,235
National Institute of Technology Raipur,Mechanical Engineering (4 Years Bachelor of Technology),ST-PWD,M,80,80
National Institute of Technology Jamshedpur,Electronics and Communication Engineering (4 Years Bachelor of Technology),EWS-PWD,M,81,81
National Institute of Technology Raipur,Electronics and Communication Engineering (4 Years Bachelor of Technology),EWS-PWD,M,82,82
Indian Institute of Information Technology Allahabad,Electronics and Communication Engineering (4 Years Bachelor of Technology),EWS-PWD,M,83,83
Dr. B R Ambedkar National Institute of Technology Jalandhar,Electronics and Communication Engineering (4 Years Bachelor of Technology),EWS-PWD,M,84,84
Indian Institute of Information Technology Allahabad,Information Technology (4 Years Bachelor of Technology),SC,M,84,1276
Malaviya National Institute of Technology Jaipur,Computer Science and Engineering (4 Years Bachelor of Technology),OBC-PWD,M,85,85
National Institute of Technology Delhi,Electrical and Electronics Engineering (4 Years Bachelor of Technology),EWS-PWD,M,86,86
National Institute of Technology Raipur,Computer Science and Engineering (4 Years Bachelor of Technology),EWS-PWD,F,88,88
Malaviya National Institute of Technology Jaipur,Computer Science and Engineering (4 Years Bachelor of Technology),OPEN-PWD,M,91,91
National Institute of Technology Patna,Electronics and Communication Engineering (4 Years Bachelor of Technology),EWS-PWD,M,92,92
Indian Institute of Information Technology(IIIT) Una Himachal Pradesh,Computer Science and Engineering (4 Years Bachelor of Technology),SC-PWD,M,98,98
Indian Institute of Information Technology Allahabad,Information Technology (4 Years Bachelor of Technology),OPEN-PWD,M,100,206
National Institute of Technology Karnataka Surathkal,Computer Science and Engineering (4 Years Bachelor of Technology),EWS,M,103,135
National Institute of Technology Arunachal Pradesh,Computer Science and Engineering (4 Years Bachelor of Technology),EWS-PWD,M,105,105
National Institute of Technology Durgapur,Computer Science and Engineering (4 Years Bachelor of Technology),OBC-PWD,M,108,108
National Institute of Technology Durgapur,Computer Science and Engineering (4 Years Bachelor of Technology),OPEN-PWD,M,109,109
Indian Institute of Information Technology Allahabad,Information Technology (4 Years Bachelor of Technology),OBC-PWD,M,109,159
Indian Institute of Information Technology (IIIT) Ranchi,Computer Science and Engineering (4 Years Bachelor of Technology),SC-PWD,M,109,109
Pt. Dwarka PrasadMishra Indian Institute of Information Technology Design &Manufacture Jabalpur,Computer Science and Engineering (4 Years Bachelor of Technology),EWS-PWD,M,112,112
Motilal Nehru National Institute of Technology Allahabad,Civil Engineering (4 Years Bachelor of Technology),EWS-PWD,M,113,113
Maulana Azad National Institute of Technology Bhopal,Computer Science and Engineering (4 Years Bachelor of Technology),OBC-PWD,M,114,114
National Institute of Technology Calicut,Computer Science and Engineering (4 Years Bachelor of Technology),OPEN-PWD,M,114,114
National Institute of Technology Karnataka Surathkal,Electrical and Electronics Engineering (4 Years Bachelor of Technology),OBC-PWD,M,115,115
Atal Bihari Vajpayee Indian Institute of Information Technology &Management Gwalior,Integrated B. Tech.(IT) andM. Tech (IT) (5 Years Integrated B. Tech. andM. Tech.),EWS-PWD,M,116,116
National Institute of Technology Hamirpur,Computer Science and Engineering (4 Years Bachelor of Technology),OBC-PWD,M,120,120
National Institute of Technology Jamshedpur,Computer Science and Engineering (4 Years Bachelor of Technology),OBC-PWD,M,124,124
National Institute of Technology Calicut,Computer Science and Engineering (4 Years Bachelor of Technology),ST,M,128,230
National Institute of Technology Calicut,Electronics and Communication Engineering (4 Years Bachelor of Technology),EWS-PWD,F,129,129
Malaviya National Institute of Technology Jaipur,Civil Engineering (4 Years Bachelor of Technology),EWS-PWD,M,132,132
Indian Institute of Information Technology Lucknow,Computer Science (4 Years Bachelor of Technology),EWS-PWD,F,135,135
National Institute of Technology Karnataka Surathkal,Electrical and Electronics Engineering (4 Years Bachelor of Technology),OPEN-PWD,M,137,137
Indian Institute of Information Technology Surat,Computer Science and Engineering (4 Years Bachelor of Technology),EWS-PWD,M,137,137
Maulana Azad National Institute of Technology Bhopal,Civil Engineering (4 Years Bachelor of Technology),EWS-PWD,M,138,138
Motilal Nehru National Institute of Technology Allahabad,Electronics and Communication Engineering (4 Years Bachelor of Technology),EWS-PWD,F,140,140
National Institute of Technology Calicut,Electronics and Communication Engineering (4 Years Bachelor of Technology),OBC-PWD,M,140,140
Indian Institute of Information Technology Design &Manufacturing Kurnool Andhra Pradesh,Artificial Intelligence and Data Science (4 Years Bachelor of Technology),EWS-PWD,M,141,141
National Institute of Technology Calicut,Mechanical Engineering (4 Years Bachelor of Technology),EWS-PWD,M,142,142
National Institute of Technology Raipur,Computer Science and Engineering (4 Years Bachelor of Technology),OBC-PWD,M,142,142
Indian Institute of Information Technology Design &Manufacturing Kancheepuram,Electronics and Communication Engineering (4 Years Bachelor of Technology),EWS-PWD,M,150,150
Malaviya National Institute of Technology Jaipur,Mechanical Engineering (4 Years Bachelor of Technology),EWS-PWD,M,151,151
National Institute of Technology Durgapur,Electronics and Communication Engineering (4 Years Bachelor of Technology),SC-PWD,M,151,151
Pt. Dwarka PrasadMishra Indian Institute of Information Technology Design &Manufacture Jabalpur,Electronics and Communication Engineering (4 Years Bachelor of Technology),EWS-PWD,M,155,155
National Institute of Technology Delhi,Electrical and Electronics Engineering (4 Years Bachelor of Technology),SC-PWD,M,157,157
Indian Institute of Information Technology (IIIT) Sri City Chittoor,Computer Science and Engineering (4 Years Bachelor of Technology),EWS-PWD,M,158,158
Motilal Nehru National Institute of Technology Allahabad,Electronics and Communication Engineering (4 Years Bachelor of Technology),OBC-PWD,M,162,162
Malaviya National Institute of Technology Jaipur,Computer Science and Engineering (4 Years Bachelor of Technology),OPEN-PWD,F,163,163
National Institute of Technology Karnataka Surathkal,Computer Science and Engineering (4 Years Bachelor of Technology),ST,F,163,163
Malaviya National Institute of Technology Jaipur,Electronics and Communication Engineering (4 Years Bachelor of Technology),OBC-PWD,M,164,164
National Institute of Technology Calicut,Civil Engineering (4 Years Bachelor of Technology),EWS-PWD,M,166,166
National Institute of Technology Calicut,Electrical and Electronics Engineering (4 Years Bachelor of Technology),OBC-PWD,M,167,167
National Institute of Technology Calicut,Electronics and Communication Engineering (4 Years Bachelor of Technology),OPEN-PWD,M,167,167
National Institute of Technology Durgapur,Mechanical Engineering (4 Years Bachelor of Technology),EWS-PWD,M,167,167
National Institute of Technology Jamshedpur,Civil Engineering (4 Years Bachelor of Technology),SC-PWD,M,169,169
Indian Institute of Information Technology Design &Manufacturing Kurnool Andhra Pradesh,Electronics and Communication Engineering with specialization in Design andManufacturing (4 Years Bachelor of Technology),EWS-PWD,M,169,169
Maulana Azad National Institute of Technology Bhopal,Electronics and Communication Engineering (4 Years Bachelor of Technology),SC-PWD,M,171,171
National Institute of Technology Patna,Mechanical Engineering (4 Years Bachelor of Technology),EWS-PWD,M,172,172
Pt. Dwarka PrasadMishra Indian Institute of Information Technology Design &Manufacture Jabalpur,Computer Science and Engineering (4 Years Bachelor of Technology),SC-PWD,M,175,175
National Institute of Technology Karnataka Surathkal,Computer Science and Engineering (4 Years Bachelor of Technology),OBC,M,176,296
